Ativo;Descrição;Carteira;Preço Atual;Valor Atual;Variação %;Qtd Total;Qtd Bloq;Qtd Pend;Qtd Exec;Disp. P/ Venda
AAZQ11 ;FIAGRO AAZQ CI ER ;BVSP.VIS ;8,07 ;3.179,58 ;;394 ;0 ;0 ;0 ;394 
AGRX11 ;FIAGRO AGRX CI ;BVSP.VIS ;8,96 ;2.831,36 ;;316 ;0 ;0 ;0 ;316 
BBAS3 ;BRASIL ON ATZ NM ;BVSP.VIS ;21,92 ;2.192,00 ;;100 ;0 ;0 ;0 ;100 
BEES3 ;BANESTES ON EJ ;BVSP.VIS ;8,90 ;1.958,00 ;;220 ;0 ;0 ;0 ;220 
CSMG3 ;COPASA ON NM ;BVSP.VIS ;54,55 ;5.455,00 ;;100 ;0 ;0 ;0 ;100 
EGAF11 ;FIAGRO ECO CI ER ;BVSP.VIS ;95,14 ;1.807,66 ;;19 ;0 ;0 ;0 ;19 
FGAA11 ;FIAGRO FGA CI ;BVSP.VIS ;9,21 ;1.832,79 ;;199 ;0 ;0 ;0 ;199 
FTCA11 ;FI AGRO FYTO CI ;BVSP.VIS ;9,18 ;4.388,04 ;;478 ;0 ;0 ;0 ;478 
GCRA11 ;FIAGRO GLPG CI ;BVSP.VIS ;54,01 ;5.184,96 ;;96 ;0 ;0 ;0 ;96 
PETR3 ;PETROBRAS ON ... ;BVSP.VIS ;53,54 ;5.354,00 ;;100 ;0 ;0 ;0 ;100 
VALE3 ;VALE ON NM ;BVSP.VIS ;78,39 ;7.839,00 ;;100 ;0 ;0 ;0 ;100 
VGIA11 ;FIAGRO VGIA CI ;BVSP.VIS ;9,84 ;2.479,68 ;;252 ;0 ;0 ;0 ;252 
BRCO11 ;FII BRESCO CI ER ;BVSP.VIS ;117,40 ;3.874,20 ;;33 ;0 ;0 ;0 ;33 
BRCR11 ;FII BC FUND CI ;BVSP.VIS ;46,70 ;2.802,00 ;;60 ;0 ;0 ;0 ;60 
BTCI11 ;FII BTG CRI CI ;BVSP.VIS ;9,35 ;6.675,90 ;;714 ;0 ;0 ;0 ;714 
BTHF11 ;FII BTHF CI ;BVSP.VIS ;9,34 ;242,84 ;;26 ;0 ;0 ;0 ;26 
BTLG11 ;FII BTLG CI ES ;BVSP.VIS ;103,11 ;6.289,71 ;;61 ;0 ;0 ;0 ;61 
BTLG12 ;FII BTLG DIR ;BVSP.VIS ;0,09 ;1,53 ;;17 ;0 ;0 ;0 ;17 
CLIN11 ;FII CLAVE IN CI ;BVSP.VIS ;93,59 ;2.807,70 ;;30 ;0 ;0 ;0 ;30 
CPTS11 ;FII CAPI SEC CI ;BVSP.VIS ;7,87 ;7.610,29 ;;967 ;0 ;0 ;0 ;967 
HFOF11 ;FII HTOPFOF3 CI ... ;BVSP.VIS ;6,70 ;3.283,00 ;;490 ;0 ;0 ;0 ;490 
HGCR11 ;FII HGCR PAX CI ... ;BVSP.VIS ;98,05 ;1.274,65 ;;13 ;0 ;0 ;0 ;13 
HGLG11 ;FII HGLG PAX CI ... ;BVSP.VIS ;155,41 ;2.331,15 ;;15 ;0 ;0 ;0 ;15 
HGRE11 ;FII HGRE PAX CI ... ;BVSP.VIS ;128,64 ;1.543,68 ;;12 ;0 ;0 ;0 ;12 
HGRU11 ;FII HGRU PAX CI ... ;BVSP.VIS ;129,96 ;2.339,28 ;;18 ;0 ;0 ;0 ;18 
KNCR11 ;FII KINEA RI CI ... ;BVSP.VIS ;104,98 ;5.144,02 ;;49 ;0 ;0 ;0 ;49 
KNIP11 ;FII KINEA IP CI ... ;BVSP.VIS ;92,78 ;463,90 ;;5 ;0 ;0 ;0 ;5 
MGHT11 ;FII MOGNO HT CI ;BVSP.VIS ;11,90 ;1.820,70 ;;153 ;0 ;0 ;0 ;153 
MXRF11 ;FII MAXI REN CI ... ;BVSP.VIS ;9,80 ;8.555,40 ;;873 ;0 ;0 ;0 ;873 
PVBI11 ;FII PVBI VBI CI ... ;BVSP.VIS ;75,60 ;7.635,60 ;;101 ;0 ;0 ;0 ;101 
RBRP11 ;FII RBRP PAX CI ;BVSP.VIS ;52,08 ;781,20 ;;15 ;0 ;0 ;0 ;15 
RBRR11 ;FII RBRR PAX CI ;BVSP.VIS ;81,70 ;7.353,00 ;;90 ;0 ;0 ;0 ;90 
RBRY11 ;FII RBRY PAX CI ;BVSP.VIS ;90,30 ;4.605,30 ;;51 ;0 ;0 ;0 ;51 
TRXF11 ;FII TRX REAL CI ... ;BVSP.VIS ;90,55 ;4.889,70 ;;54 ;0 ;0 ;0 ;54 
VGIR11 ;FII VALREIII CI ;BVSP.VIS ;9,79 ;97,90 ;;10 ;0 ;0 ;0 ;10 
VILG11 ;FII VINCI LG CI ... ;BVSP.VIS ;100,59 ;7.141,89 ;;71 ;0 ;0 ;0 ;71 
XPLG11 ;FII XP LOG CI ER ;BVSP.VIS ;99,81 ;898,29 ;;9 ;0 ;0 ;0 ;9 
XPML11 ;FII XP MALLS CI ;BVSP.VIS ;111,40 ;5.681,40 ;;51 ;0 ;0 ;0 ;51 
